Cidade,Monumento,Domestico-2019-20,Estrangeiro-2019-20,Domestico-2020-21,Estrangeiro-2020-21,Crescimento-Domestico-21/19,Crescimento-Estrangeiro-21/19,Avaliacao
8,140,76135.0,908.0,12856.0,109.0,-83.11,-88.0,1
8,112,2200044.0,91364.0,187380.0,1438.0,-91.48,-98.43,1
8,72,658318.0,202288.0,243836.0,2381.0,-62.96,-98.82,1
8,104,2048146.0,255318.0,476063.0,2849.0,-76.76,-98.88,0
8,69,145544.0,2625.0,39837.0,148.0,-72.63,-94.36,0
8,77,203197.0,6516.0,76108.0,230.0,-62.54,-96.47,0
8,121,72938.0,15977.0,56776.0,392.0,-22.16,-97.55,0
8,84,89397.0,810.0,27763.0,106.0,-68.94,-86.91,1
8,103,662300.0,5493.0,200846.0,936.0,-69.67,-82.96,1
33,139,6158331.0,581350.0,1347436.0,8832.0,-78.12,-98.48,1
12,2,44700.0,175.0,25443.0,69.0,-43.08,-60.57,1
12,79,119912.0,577.0,54595.0,93.0,-54.47,-83.88,0
12,108,69063.0,546.0,33939.0,75.0,-50.86,-86.26,0
12,23,21062.0,118.0,2921.0,0.0,-86.13,-100.0,0
12,65,23111.0,141.0,19866.0,72.0,-14.04,-48.94,1
33,139,277848.0,1557.0,136764.0,309.0,-50.78,-80.15,1
10,142,837898.0,8104.0,379726.0,340.0,-54.68,-95.8,1
33,139,837898.0,8104.0,379726.0,340.0,-54.68,-95.8,0
14,37,1151933.0,7803.0,297548.0,182.0,-74.17,-97.67,0
14,58,1630419.0,20572.0,527096.0,912.0,-67.67,-95.57,1
14,143,92690.0,277.0,64339.0,54.0,-30.59,-80.51,1
33,139,2875042.0,28652.0,888983.0,1148.0,-69.08,-95.99,1
16,10,190833.0,1893.0,53946.0,85.0,-71.73,-95.51,1
16,19,66821.0,85732.0,44284.0,115.0,-33.73,-99.87,0
16,42,28510.0,1067.0,12772.0,30.0,-55.2,-97.19,0
33,139,286164.0,88692.0,111002.0,230.0,-61.21,-99.74,1
18,38,565133.0,15188.0,223328.0,206.0,-60.48,-98.64,1
18,85,495276.0,11208.0,203050.0,208.0,-59.0,-98.14,0
18,88,241299.0,98.0,131764.0,141.0,-45.39,43.88,1
33,139,1301708.0,26494.0,558142.0,555.0,-57.12,-97.91,1
20,8,56639.0,5671.0,2047.0,6.0,-96.39,-99.89,0
33,139,56639.0,5671.0,2047.0,6.0,-96.39,-99.89,1
24,113,109962.0,207.0,25834.0,25876.0,-76.51,12400.48,1
24,13,89631.0,12962.0,49207.0,49213.0,-45.1,279.67,0
24,46,437506.0,26903.0,105748.0,105816.0,-75.83,293.32,0
24,12,65573.0,436.0,27583.0,27583.0,-57.94,6226.38,1
24,124,208177.0,153.0,95051.0,95133.0,-54.34,62078.43,0
33,139,910849.0,40661.0,303423.0,303621.0,-66.69,646.71,0
26,131,63759.0,96.0,44742.0,44746.0,-29.83,46510.42,1
33,139,63759.0,96.0,44742.0,44746.0,-29.83,46510.42,0
29,119,91306.0,1758.0,100454.0,252.0,10.02,-85.67,1
29,116,73439.0,1709.0,53123.0,209.0,-27.66,-87.77,1
33,139,164745.0,3467.0,153577.0,461.0,-6.78,-86.7,1
30,99,6610.0,0.0,2129.0,0.0,-67.79,43607076.0,1
30,16,9939.0,32.0,5706.0,8.0,-42.59,-75.0,1
30,64,5731.0,4.0,5816.0,0.0,1.48,-100.0,1
33,139,22280.0,36.0,13651.0,8.0,-38.73,-77.78,0
1,5,8038.0,285.0,1864.0,0.0,-76.81,-100.0,0
1,141,109307.0,494.0,52924.0,89.0,-51.58,-81.98,1
1,94,19762.0,35.0,0.0,0.0,43607076.0,43607076.0,1
1,36,103489.0,109.0,51113.0,38.0,-50.61,-65.14,1
1,29,22353.0,85.0,10219.0,10.0,-54.28,-88.24,1
33,139,262949.0,1008.0,116120.0,137.0,-55.84,-86.41,0
11,59,43607075.0,2756561.0,13153076.0,415859.0,-69.84,-84.91,0
